file_id,sensor,channel,type,starttime,endtime,window,overlap,windowing,n_windows,n_variables,low_filter,high_filter,nsamples,srate,trend_removed,coherent_noise_removed,save_time
61,PLPI,HHN,FFT,2021-09-21,2021-09-22,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:20:27.701872
62,PLPI,HHE,FFT,2021-09-21,2021-09-22,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:20:35.394994
63,PLPI,HHZ,FFT,2021-09-21,2021-09-22,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:20:43.115798
64,PPMA,HHN,FFT,2021-09-21,2021-09-22,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:20:51.049124
65,PPMA,HHE,FFT,2021-09-21,2021-09-22,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:20:58.867427
66,PPMA,HHZ,FFT,2021-09-21,2021-09-22,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:21:06.981183
67,PLPI,HHN,FFT,2021-09-22,2021-09-23,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:21:14.953774
68,PLPI,HHE,FFT,2021-09-22,2021-09-23,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:21:22.757480
69,PLPI,HHZ,FFT,2021-09-22,2021-09-23,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:21:30.521123
70,PPMA,HHN,FFT,2021-09-22,2021-09-23,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:21:38.418436
71,PPMA,HHE,FFT,2021-09-22,2021-09-23,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:21:46.170052
72,PPMA,HHZ,FFT,2021-09-22,2021-09-23,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:21:54.053056
73,PLPI,HHN,FFT,2021-09-23,2021-09-24,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:01.767101
74,PLPI,HHE,FFT,2021-09-23,2021-09-24,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:09.498859
75,PLPI,HHZ,FFT,2021-09-23,2021-09-24,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:17.264898
76,PPMA,HHN,FFT,2021-09-23,2021-09-24,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:25.345630
77,PPMA,HHE,FFT,2021-09-23,2021-09-24,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:33.361194
78,PPMA,HHZ,FFT,2021-09-23,2021-09-24,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:41.432674
79,PLPI,HHN,FFT,2021-09-24,2021-09-25,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:49.266665
80,PLPI,HHE,FFT,2021-09-24,2021-09-25,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:56.836509
81,PLPI,HHZ,FFT,2021-09-24,2021-09-25,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:04.365084
82,PPMA,HHN,FFT,2021-09-24,2021-09-25,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:12.151420
83,PPMA,HHE,FFT,2021-09-24,2021-09-25,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:19.868590
84,PPMA,HHZ,FFT,2021-09-24,2021-09-25,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:27.612578
85,PLPI,HHN,FFT,2021-09-25,2021-09-26,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:35.255572
86,PLPI,HHE,FFT,2021-09-25,2021-09-26,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:42.998590
87,PLPI,HHZ,FFT,2021-09-25,2021-09-26,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:50.610357
