file_id,network,sensor,channel,type,starttime,endtime,window,overlap,windowing,n_windows,n_variables,missing_rate,low_filter,high_filter,nsamples,srate,trend_removed,coherent_noise_removed,save_time
101,C7,PPMA,HHE,FFT,2021-09-12 00:00:00.00,2021-09-13 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:46:57.00
102,C7,PPMA,HHZ,FFT,2021-09-12 00:00:00.00,2021-09-13 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:47:05.00
103,C7,PLPI,HHN,FFT,2021-09-13 00:00:00.00,2021-09-14 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:47:13.00
104,C7,PLPI,HHE,FFT,2021-09-13 00:00:00.00,2021-09-14 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:47:22.00
105,C7,PLPI,HHZ,FFT,2021-09-13 00:00:00.00,2021-09-14 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:47:30.00
106,C7,PPMA,HHN,FFT,2021-09-13 00:00:00.00,2021-09-14 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:47:39.00
107,C7,PPMA,HHE,FFT,2021-09-13 00:00:00.00,2021-09-14 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:47:47.00
108,C7,PPMA,HHZ,FFT,2021-09-13 00:00:00.00,2021-09-14 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:47:55.00
109,C7,PLPI,HHN,FFT,2021-09-14 00:00:00.00,2021-09-15 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:48:04.00
110,C7,PLPI,HHE,FFT,2021-09-14 00:00:00.00,2021-09-15 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:48:12.00
